quarter,commodity_price_index
1995Q1,29.996282838648302
1995Q2,31.011009592656265
1995Q3,30.73383117637823
1995Q4,30.162207948075963
1996Q1,29.976517462325003
1996Q2,28.887438461873064
1996Q3,28.5546993063498
1996Q4,28.125201286748137
1997Q1,28.834816555166267
1997Q2,29.01677099419903
1997Q3,29.5374388897053
1997Q4,30.5613652769795
1998Q1,30.118664690505536
1998Q2,30.71562004866517
1998Q3,30.620880577588764
1998Q4,28.92786602740843
1999Q1,28.07201923736247
1999Q2,26.7753016339767
1999Q3,27.652288196969664
1999Q4,28.665585481032867
2000Q1,29.987321096896967
2000Q2,32.314875748889435
2000Q3,33.993940493492666
2000Q4,36.256607809106164
2001Q1,36.318521451107266
2001Q2,38.2289314424955
2001Q3,38.13520837785833
2001Q4,36.810177404548035
2002Q1,36.94500680947076
2002Q2,35.4205645027496
2002Q3,36.4852121363645
2002Q4,37.30744410470127
2003Q1,36.136044413387566
2003Q2,32.48360403782707
2003Q3,32.4740423798072
2003Q4,31.8688889483488
2004Q1,32.12833943063203
2004Q2,36.15193715045413
2004Q3,37.99305132180557
2004Q4,37.17487966943563
2005Q1,37.67909921241374
2005Q2,43.01399424696947
2005Q3,46.269062720172634
2005Q4,48.72084935904837
2006Q1,51.98772792208157
2006Q2,55.26980662917689
2006Q3,55.6029107505743
2006Q4,54.65604160894029
2007Q1,54.31316937074977
2007Q2,54.12811654486527
2007Q3,53.52545853859137
2007Q4,54.65931858083827
2008Q1,58.43299169924787
2008Q2,67.6292631777044
2008Q3,79.70235981049747
2008Q4,91.58578176118597
2009Q1,80.3878528673406
2009Q2,60.49865642552283
2009Q3,56.24553307545983
2009Q4,55.30653332370014
2010Q1,59.44420379685827
2010Q2,72.53407452200547
2010Q3,76.43244196019447
2010Q4,72.58265588346806
2011Q1,79.44246984735427
2011Q2,83.65640273790883
2011Q3,84.84749007048573
2011Q4,79.55893016625241
2012Q1,73.75192305449544
2012Q2,74.34587777281537
2012Q3,67.71482493507803
2012Q4,63.467226624956
2013Q1,68.18967464497906
2013Q2,67.75152750583923
2013Q3,70.3063121193082
2013Q4,69.76607658202033
2014Q1,70.26446926273147
2014Q2,62.19378941125097
2014Q3,58.3650618517793
2014Q4,57.58922921905957
2015Q1,57.25199611577053
2015Q2,52.38360962006197
2015Q3,53.297509467699534
2015Q4,49.69206158023753
2016Q1,47.94545481384804
2016Q2,49.4129599471012
2016Q3,51.44055568669427
2016Q4,61.734461439824535
2017Q1,66.73443339674729
2017Q2,61.86596429461861
2017Q3,60.22305784916514
2017Q4,62.0984077019723
2018Q1,67.24009958597306
2018Q2,68.0219650401973
2018Q3,71.74265566115623
2018Q4,75.01152430448839
2019Q1,78.63018402523473
2019Q2,80.6623982769419
2019Q3,81.76807896576197
2019Q4,75.6869580080406
2020Q1,78.38201991681277
2020Q2,75.67114165626298
2020Q3,71.13462783076577
2020Q4,77.17586540193857
2021Q1,87.22983660218448
2021Q2,98.51808006841763
2021Q3,103.21992175276746
2021Q4,102.27384406372789
2022Q1,120.27861589603934
2022Q2,136.867417005622
2022Q3,132.5526761895927
2022Q4,132.72611045170734
2023Q1,127.36003562872067
2023Q2,112.07132751365867
2023Q3,106.87702664916434
2023Q4,110.42877919594333
2024Q1,109.986443057727
2024Q2,102.17438854428667
2024Q3,97.53222416974343
2024Q4,100.97710387453901
2025Q1,103.64939706591667
2025Q2,97.84127488980103
2025Q3,98.42701754017924
2025Q4,103.26538000645
