scenario_id,file,byte_identical,cells_compared,cells_changed,max_abs_diff
book_rebuild,00_results_at_a_glance.html,True,0,0,0
book_rebuild,01_business_understanding.html,True,0,0,0
book_rebuild,02_data_understanding.html,True,0,0,0
book_rebuild,03_data_preparation.html,True,0,0,0
book_rebuild,04_modeling/41_sarima.html,True,0,0,0
book_rebuild,04_modeling/42_elastic_net.html,True,0,0,0
book_rebuild,04_modeling/43_ensemble.html,True,0,0,0
book_rebuild,04_modeling/44_svar.html,True,0,0,0
book_rebuild,04_modeling/45_scenario_engine.html,True,0,0,0
book_rebuild,04_modeling/46_rba_classifier.html,True,0,0,0
book_rebuild,04_modeling/47_credit_stress.html,True,0,0,0
book_rebuild,04_modeling/index.html,True,0,0,0
book_rebuild,05_evaluation.html,True,0,0,0
book_rebuild,06_deployment.html,True,0,0,0
book_rebuild,07_conclusion.html,True,0,0,0
book_rebuild,_static/sbt-webpack-macros.html,True,0,0,0
book_rebuild,_static/webpack-macros.html,True,0,0,0
book_rebuild,appendix_eda/01_data_integrity.html,True,0,0,0
book_rebuild,appendix_eda/02_missing_values.html,True,0,0,0
book_rebuild,appendix_eda/03_cpi_target_inspection.html,True,0,0,0
book_rebuild,appendix_eda/04_external_variables.html,True,0,0,0
book_rebuild,appendix_eda/05_stationarity_tests.html,True,0,0,0
book_rebuild,appendix_eda/06_lead_lag_correlation.html,True,0,0,0
book_rebuild,appendix_eda/07_granger_causality.html,True,0,0,0
book_rebuild,appendix_eda/08_multicollinearity_vif.html,True,0,0,0
book_rebuild,appendix_eda/09_leakage_availability.html,True,0,0,0
book_rebuild,appendix_eda/10_exogenous_screening_headline.html,True,0,0,0
book_rebuild,appendix_eda/11_exogenous_screening_trimmed_mean.html,True,0,0,0
book_rebuild,appendix_eda/12_rolling_correlations.html,True,0,0,0
book_rebuild,appendix_eda/13_raw_frequency_validation.html,True,0,0,0
book_rebuild,appendix_eda/14_rba_forecast_benchmark.html,True,0,0,0
book_rebuild,appendix_eda/15_documented_limitations.html,True,0,0,0
book_rebuild,appendix_eda/index.html,True,0,0,0
book_rebuild,genindex.html,True,0,0,0
book_rebuild,index.html,True,0,0,0
book_rebuild,intro.html,True,0,0,0
book_rebuild,search.html,True,0,0,0
restore,reports/tableau/credit_stress.csv,True,90,0,0
restore,reports/tableau/dataset_overview.csv,True,6,0,0
restore,reports/tableau/drift_covariate_check.csv,True,84,0,0
restore,reports/tableau/drift_error_check.csv,True,144,0,0
restore,reports/tableau/drift_error_history.csv,True,2232,0,0
restore,reports/tableau/elastic_net_feature_importance.csv,True,1232,0,0
restore,reports/tableau/forecast.csv,True,384,0,0
restore,reports/tableau/historical_indicators.csv,True,6400,0,0
restore,reports/tableau/model_comparison.csv,True,40,0,0
restore,reports/tableau/model_interval_coverage.csv,True,36,0,0
restore,reports/tableau/rba_action.csv,True,98,0,0
restore,reports/tableau/svar_historical_decomposition.csv,True,8712,0,0
restore,reports/tableau/svar_irf.csv,True,768,0,0
restore,reports/tableau/svar_shock_events.csv,True,1694,0,0
retrain_new,data/curated/quarterly_macro_features.csv,True,6912,0,0
retrain_new,reports/backtest_predictions.csv,True,20800,0,0
retrain_new,reports/backtest_predictions_trimmed_mean.csv,True,20800,0,0
retrain_new,reports/data_quality_report.csv,True,756,0,0
retrain_new,reports/eda_correlations.csv,True,84,0,0
retrain_new,reports/eda_stationarity.csv,True,224,0,0
retrain_new,reports/eda_vif.csv,True,48,0,0
retrain_new,reports/elastic_net_coefficients.csv,True,528,0,0
retrain_new,reports/elastic_net_coefficients_trimmed_mean.csv,True,528,0,0
retrain_new,reports/model_comparison_all.csv,True,396,0,0
retrain_new,reports/model_comparison_elastic_net.csv,True,576,0,0
retrain_new,reports/model_comparison_elastic_net_trimmed_mean.csv,True,432,0,0
retrain_new,reports/model_comparison_ensemble.csv,True,225,0,0
retrain_new,reports/model_comparison_ensemble_trimmed_mean.csv,True,180,0,0
retrain_new,reports/model_comparison_sarima.csv,True,135,0,0
retrain_new,reports/model_comparison_sarima_trimmed_mean.csv,True,90,0,0
retrain_new,reports/model_comparison_trimmed_mean_all.csv,True,396,0,0
retrain_new,reports/platform_implementation_status.csv,True,52,0,0
retrain_new,reports/rba_classifier_evaluation.md,True,0,0,0
retrain_new,reports/simulation_fan_elastic_net.csv,True,80,0,0
retrain_new,reports/simulation_fan_elastic_net_trimmed_mean.csv,True,80,0,0
retrain_new,reports/simulation_fan_ensemble.csv,True,80,0,0
retrain_new,reports/simulation_fan_ensemble_trimmed_mean.csv,True,80,0,0
retrain_new,reports/simulation_fan_sarima.csv,True,80,0,0
retrain_new,reports/simulation_fan_sarima_trimmed_mean.csv,True,80,0,0
retrain_new,reports/simulation_fan_svar_headline.csv,True,80,0,0
retrain_new,reports/simulation_fan_svar_trimmed_mean.csv,True,80,0,0
retrain_new,reports/simulation_paths_sample_ensemble.csv,True,6720,0,0
retrain_new,reports/simulation_paths_sample_ensemble_trimmed_mean.csv,True,6720,0,0
retrain_new,reports/svar_unemployment_forecast.csv,True,160,0,0
retrain_new,reports/tableau/credit_stress.csv,True,90,0,0
retrain_new,reports/tableau/dataset_overview.csv,False,6,1,0
retrain_new,reports/tableau/drift_covariate_check.csv,True,84,0,0
retrain_new,reports/tableau/drift_error_check.csv,True,144,0,0
retrain_new,reports/tableau/drift_error_history.csv,True,2232,0,0
retrain_new,reports/tableau/elastic_net_feature_importance.csv,True,1232,0,0
retrain_new,reports/tableau/forecast.csv,True,384,0,0
retrain_new,reports/tableau/historical_indicators.csv,True,6400,0,0
retrain_new,reports/tableau/model_comparison.csv,True,40,0,0
retrain_new,reports/tableau/model_interval_coverage.csv,True,36,0,0
retrain_new,reports/tableau/rba_action.csv,True,98,0,0
retrain_new,reports/tableau/svar_historical_decomposition.csv,True,8712,0,0
retrain_new,reports/tableau/svar_irf.csv,True,768,0,0
retrain_new,reports/tableau/svar_shock_events.csv,True,1694,0,0
